prototype_id,task_type,count,share,score_mean,score_median,score_p10,score_p90,assistant_chars_mean,total_chars_mean,has_tools_rate,malformed_rate,dup_norm_rate,sources,buckets
summary_02,summary,1057311,0.542395,0.3860888599002825,0.3805276155471802,0.3407687544822693,0.4385295808315277,150.74453211968853,183.86441075520827,0.0,0.0,0.082261,unknown:1057311,high:1056676|mid:628|tail:7
followup_02,followup_question,96107,0.049302,0.3535992801925899,0.36039668321609497,0.2753488183021545,0.42117592692375183,114.30920744586763,149.54909631972697,0.0,0.0,0.101044,unknown:96107,high:96102|mid:5
followup_01,followup_question,93004,0.047711,0.29374184046142676,0.29009051620960236,0.26700504422187804,0.3245509207248688,254.0040105801901,315.83629736355425,0.0,0.0,0.154466,unknown:93004,high:92938|mid:66
triage_06,triage,65818,0.033764,0.3535887923236206,0.3515591323375702,0.28590455353260036,0.4240428030490876,214.97321401440337,285.9449998480659,0.0,0.0,0.157495,unknown:65818,high:65815|mid:3
followup_04,followup_question,43110,0.022115,0.287079663929337,0.282882958650589,0.25444533228874205,0.32189459204673765,266.31011366272327,325.9175597309209,0.0,0.0,0.15929,unknown:43110,high:43074|mid:36
complication_01,complication_risk,43095,0.022108,0.4201379545753054,0.4315929710865021,0.34107425808906555,0.4818563163280487,57.30168232973663,76.69523146536721,0.0,0.0,0.020281,unknown:43095,high:43095
triage_04,triage,29351,0.015057,0.37252925920811775,0.37304365634918213,0.287251740694046,0.456695020198822,257.2760382951177,303.17559878709415,0.0,0.0,0.144458,unknown:29351,high:29350|tail:1
emergency_01,emergency_management,29120,0.014938,0.37578647365169293,0.38300155103206635,0.28911983668804164,0.4473860144615173,163.26421703296703,191.7105425824176,0.0,0.0,0.042891,unknown:29120,high:29119|mid:1
med_04,medical_knowledge_qa,28482,0.014611,0.3587263355064439,0.35567429661750793,0.28081974983215335,0.44667341411113737,172.36180745734148,201.88297872340425,0.0,0.0,0.047258,unknown:28482,high:28482
followup_03,followup_question,28269,0.014502,0.3449001870439263,0.3444390296936035,0.2490490436553955,0.4467833042144776,246.66588842902118,305.8677349747073,0.0,0.0,0.157699,unknown:28269,high:28260|mid:9
knowledge_02,medical_knowledge_qa,25659,0.013163,0.32947146207741135,0.32608675956726074,0.26638046503067014,0.39925476908683777,115.63190303597179,140.0583031295062,0.0,0.0,0.027865,unknown:25659,high:25656|mid:3
triage_05,triage,21441,0.010999,0.3494452980402707,0.3482721745967865,0.27789944410324097,0.4271143674850464,277.0099808777576,327.5958677300499,0.0,0.0,0.120423,unknown:21441,high:21441
report_04,report_interpretation,20829,0.010685,0.34320111121036034,0.34174707531929016,0.2708836913108826,0.4207098364830017,286.227279274089,341.098996591291,0.0,0.0,0.126938,unknown:20829,high:20829
summary_04,summary,20404,0.010467,0.3556802939354111,0.3688965290784836,0.2689669758081436,0.4291309714317322,183.14560870417566,210.2181925112723,0.0,0.0,0.034356,unknown:20404,high:20402|mid:2
surgery_01,medical_knowledge_qa,19765,0.010139,0.33413828016759894,0.33133408427238464,0.2656819820404053,0.4081763088703156,232.8946116873261,276.26496331899824,0.0,0.0,0.082773,unknown:19765,high:19765
drug_05,drug_guidance,18588,0.009536,0.3306954679543712,0.319916307926178,0.2750121742486954,0.40548717081546787,181.70647729718098,243.5498708844416,0.0,0.0,0.165698,unknown:18588,high:18588
triage_02,triage,17574,0.009015,0.34907048265129087,0.3532126545906067,0.2750889271497727,0.4216268718242645,233.33589393422102,290.3720268578582,0.0,0.0,0.116593,unknown:17574,high:17574
symptom_03,symptom_qa,15008,0.007699,0.3509557738459345,0.3506249636411667,0.2796549618244171,0.42531210184097296,278.3033715351812,337.87913113006397,0.0,0.0,0.125866,unknown:15008,high:15008
symptom_04,symptom_qa,14548,0.007463,0.36970879674492496,0.37365545332431793,0.28558824956417084,0.4513426423072815,501.89228759967006,522.7142562551553,0.0,0.0,0.043305,unknown:14548,high:14548
report_05,report_interpretation,13415,0.006882,0.3806120778525271,0.3931125998497009,0.29427791237831114,0.44523781538009644,111.30190085724935,139.23622810286992,0.0,0.0,0.030414,unknown:13415,high:13415
symptom_08,symptom_qa,13211,0.006777,0.3263251265308875,0.32155317068099976,0.24997404217720032,0.4126693606376648,290.8359700249792,341.2400272500189,0.0,0.0,0.108319,unknown:13211,high:13211
med_05,medical_knowledge_qa,10949,0.005617,0.3209093221954825,0.31493061780929565,0.24114757180213928,0.40991329550743105,334.52233080646636,370.29272079641976,0.0,0.0,0.072792,unknown:10949,high:10947|mid:2
treatment_01,treatment_decision,10112,0.005187,0.32297157480298905,0.3214869052171707,0.25604974031448363,0.3929560363292694,221.2126186708861,257.4708267405063,0.0,0.0,0.076345,unknown:10112,high:10112
med_basic_03,medical_knowledge_qa,9453,0.004849,0.3728771290929938,0.3757244050502777,0.29360786676406864,0.4494411110877991,296.98645932508197,330.64624986776687,0.0,0.0,0.062308,unknown:9453,high:9453
med_basic_02,medical_knowledge_qa,9348,0.004795,0.29317471712419607,0.28370165824890137,0.23384544551372527,0.37013531625270846,257.92950363714164,287.4067180145486,0.0,0.0,0.062366,unknown:9348,high:9342|mid:6
symptom_05,symptom_qa,8967,0.0046,0.3392429213762762,0.3386184871196747,0.2655312895774841,0.4203014373779297,321.91412958626074,367.4377160700346,0.0,0.0,0.093454,unknown:8967,high:8967
drug_08,drug_guidance,8948,0.00459,0.3100668189903096,0.32629597187042236,0.2104448884725571,0.38499504923820493,218.82085382208314,235.68048725972284,0.0,0.0,0.019669,unknown:8948,high:8947|mid:1
basic_03,medical_knowledge_qa,8678,0.004452,0.273943178444984,0.27821870148181915,0.1659303367137909,0.37941729426383974,304.320004609357,326.2752938465084,0.0,0.0,0.039756,unknown:8678,high:8677|mid:1
drug_02,drug_guidance,8563,0.004393,0.3876448104095615,0.3897605538368225,0.33205342292785645,0.4399391055107117,133.82763050332827,153.9504846432325,0.0,0.0,0.017634,unknown:8563,high:8563
med_basic_05,medical_knowledge_qa,8035,0.004122,0.3651598444749794,0.3663378357887268,0.2900287628173828,0.44786928296089173,155.64505289359053,177.71263223397636,0.0,0.0,0.027131,unknown:8035,high:8035
drug_01,drug_guidance,7887,0.004046,0.38652094531130304,0.4026874005794525,0.29834827184677126,0.44714292883872986,142.6723722581463,163.02307594776215,0.0,0.0,0.027894,unknown:7887,high:7887
med_01,medical_knowledge_qa,7587,0.003892,0.30354923871692596,0.317599892616272,0.1764836311340332,0.37497625350952146,108.67866086727297,122.66060366416238,0.0,0.0,0.004745,unknown:7587,high:7583|mid:4
summary_01,summary,7491,0.003843,0.29517770701918133,0.2817854881286621,0.24651691317558289,0.37394949793815613,354.7454278467494,389.2225337071152,0.0,0.0,0.061941,unknown:7491,high:7485|mid:6
drug_07,drug_guidance,7157,0.003672,0.3770392724875383,0.38411253690719604,0.30013727545738217,0.4436748564243317,119.96646639653486,151.82366913511248,0.0,0.0,0.035769,unknown:7157,high:7157
guideline_01,medical_knowledge_qa,6921,0.00355,0.29903253369284166,0.2874925136566162,0.22764050960540771,0.38589420914649963,190.01704955931223,211.86952752492414,0.0,0.0,0.035255,unknown:6921,high:6916|mid:5
med_02,medical_knowledge_qa,6852,0.003515,0.34390543393847267,0.33874915540218353,0.2741630584001541,0.4239628612995149,255.27802101576182,276.2752481027437,0.0,0.0,0.032837,unknown:6852,high:6852
disease_03,disease_education,6588,0.00338,0.3577160539844033,0.36086778342723846,0.2907254695892334,0.420247358083725,298.0320279295689,322.52671523982997,0.0,0.0,0.037948,unknown:6588,high:6588
diagnosis_01,diagnostic_reasoning,6561,0.003366,0.40291087317123336,0.4129415452480316,0.3398013710975647,0.45518171787261963,429.3846974546563,445.3898795915257,0.0,0.0,0.01829,unknown:6561,high:6561
basic_04,medical_knowledge_qa,6338,0.003251,0.33775643596314564,0.35376980900764465,0.20709383487701416,0.43436327874660496,395.00047333543705,420.7982013253392,0.0,0.0,0.044494,unknown:6338,high:6338
drug_06,drug_guidance,6248,0.003205,0.34367459866954025,0.3491082340478897,0.24889788925647738,0.42934384047985075,199.05585787451986,243.6637323943662,0.0,0.0,0.078105,unknown:6248,high:6248
triage_01,triage,5913,0.003033,0.35519445043781095,0.35691964626312256,0.27014198899269104,0.44092844724655156,216.30339928970065,272.36783358701166,0.0,0.0,0.148317,unknown:5913,high:5913
disease_04,disease_education,5730,0.002939,0.31470906660610887,0.31198936700820923,0.23969077467918395,0.3866514801979065,322.4462478184991,377.921815008726,0.0,0.0,0.122339,unknown:5730,high:5730
report_03,report_interpretation,5720,0.002934,0.36053371502646614,0.370299369096756,0.24502307176589966,0.45583765804767606,307.53846153846155,349.51293706293706,0.0,0.0,0.101748,unknown:5720,high:5720
path_01,medical_knowledge_qa,5612,0.002879,0.35303037748781596,0.35393330454826355,0.29180407524108887,0.4156825691461563,200.73823948681397,224.75106913756235,0.0,0.0,0.03546,unknown:5612,high:5612
obgyn_01,medical_knowledge_qa,5191,0.002663,0.3272505988736668,0.31937235593795776,0.24812285602092743,0.42105865478515625,366.11905220574073,404.38797919476013,0.0,0.0,0.083221,unknown:5191,high:5191
symptom_06,symptom_qa,4970,0.00255,0.34804926723901414,0.3532184958457947,0.2616099208593369,0.42366865575313567,326.5082494969819,377.01146881287724,0.0,0.0,0.16338,unknown:4970,high:4970
report_01,report_interpretation,4943,0.002536,0.36333792578129787,0.36334648728370667,0.2890009880065918,0.4355674088001251,242.2623912603682,277.50778879223145,0.0,0.0,0.066559,unknown:4943,high:4943
drug_03,drug_guidance,4892,0.00251,0.3782626569837649,0.4000091254711151,0.2611914396286011,0.4537376821041107,160.82869991823384,195.7125919869174,0.0,0.0,0.064595,unknown:4892,high:4891|mid:1
symptom_02,symptom_qa,4391,0.002253,0.3523287285951568,0.3560009002685547,0.27174457907676697,0.4313744902610779,196.85789114097017,265.95012525620587,0.0,0.0,0.164199,unknown:4391,high:4391
symptom_07,symptom_qa,4124,0.002116,0.37696313294541417,0.37355566024780273,0.3201537191867828,0.4381177246570588,237.6619786614937,314.3389912706111,0.0,0.0,0.160281,unknown:4124,high:4124
symptom_01,symptom_qa,3368,0.001728,0.34440467705299765,0.3497312366962433,0.27599645853042604,0.4118168205022813,264.9061757719715,322.94032066508316,0.0,0.0,0.147862,unknown:3368,high:3368
disease_02,disease_education,2832,0.001453,0.3685793674387838,0.3707217276096344,0.2835120320320129,0.45365881621837617,257.45727401129943,280.5,0.0,0.0,0.028249,unknown:2832,high:2832
med_basic_01,medical_knowledge_qa,2578,0.001323,0.3062058367135684,0.31270623207092285,0.22515170276165009,0.37887748777866365,236.21062839410396,252.67377812257564,0.0,0.0,0.02211,unknown:2578,high:2578
drug_04,drug_guidance,2575,0.001321,0.3378009947208525,0.33736079931259155,0.27564890384674073,0.41058567762374876,222.06485436893203,281.7871844660194,0.0,0.0,0.157282,unknown:2575,high:2575
disease_01,disease_education,2509,0.001287,0.2290431106943398,0.26272907853126526,0.11323998570442201,0.3335954308509827,169.11558389796733,180.43642885611797,0.0,0.0,0.00558,unknown:2509,high:2508|mid:1
exam_01,medical_knowledge_qa,2313,0.001187,0.3565440203944584,0.3768317997455597,0.25752849578857423,0.42424641251564027,236.3385214007782,266.0466926070039,0.0,0.0,0.072633,unknown:2313,high:2313
knowledge_03,medical_knowledge_qa,2137,0.001096,0.33574589819873557,0.3316870927810669,0.2737127959728241,0.40894738435745237,125.78989237248479,145.30182498830135,0.0,0.0,0.011699,unknown:2137,high:2137
peds_01,medical_knowledge_qa,1939,0.000995,0.3269941923604791,0.32820138335227966,0.2764644205570221,0.3788928627967834,315.87777204744714,365.59360495100566,0.0,0.0,0.132543,unknown:1939,high:1939
med_03,medical_knowledge_qa,1924,0.000987,0.32982859614144494,0.3381655514240265,0.22935860753059387,0.4139331430196762,150.71465696465697,179.3108108108108,0.0,0.0,0.045738,unknown:1924,high:1924
report_06,report_interpretation,1492,0.000765,0.3314223060179652,0.3441913425922394,0.21326065808534622,0.4490478754043579,208.41823056300268,249.7459785522788,0.0,0.0,0.101206,unknown:1492,high:1492
med_basics_01,medical_knowledge_qa,1426,0.000732,0.3073648596169404,0.32383471727371216,0.1915321797132492,0.38415080308914185,231.58625525946704,246.05119214586256,0.0,0.0,0.058906,unknown:1426,high:1426
basic_02,medical_knowledge_qa,1384,0.00071,0.35436210718888767,0.355992391705513,0.28644598424434664,0.4233957707881928,176.73554913294797,194.8612716763006,0.0,0.0,0.030347,unknown:1384,high:1384
med_basic_04,medical_knowledge_qa,1117,0.000573,0.24157073712284904,0.23139598965644836,0.17790509164333346,0.3178881883621216,243.8370635631155,302.94091316025066,0.0,0.0,0.161146,unknown:1117,high:1117
knowledge_04,medical_knowledge_qa,703,0.000361,0.31014259791221593,0.3088591396808624,0.24833205342292786,0.37805283069610596,226.31152204836414,295.84637268847797,0.0,0.0,0.180654,unknown:703,high:702|mid:1
triage_03,triage,600,0.000308,0.3705411048233509,0.3795708119869232,0.28815150260925293,0.4436331421136856,205.475,235.00833333333333,0.0,0.0,0.068333,unknown:600,high:600
report_02,report_interpretation,488,0.00025,0.3896481308963944,0.3986212760210037,0.32059648633003235,0.45058908462524416,197.452868852459,229.96926229508196,0.0,0.0,0.053279,unknown:488,high:488
physio_01,medical_knowledge_qa,342,0.000175,0.3333788974461151,0.34339888393878937,0.24048163294792174,0.42246567606925967,146.4795321637427,161.62573099415204,0.0,0.0,0.011696,unknown:342,high:342
knowledge_05,medical_knowledge_qa,323,0.000166,0.3283217809517686,0.3372575640678406,0.24255710542201997,0.40951035022735593,347.5479876160991,372.40247678018574,0.0,0.0,0.043344,unknown:323,high:323
knowledge_01,medical_knowledge_qa,310,0.000159,0.30424461681996623,0.31530196964740753,0.1694449156522751,0.4180881500244141,213.8548387096774,226.7,0.0,0.0,0.012903,unknown:310,high:310
basic_01,medical_knowledge_qa,220,0.000113,0.3180186391892758,0.32063156366348267,0.2678956866264343,0.3785523921251297,60.627272727272725,73.95,0.0,0.0,0.0,unknown:220,high:220
summary_03,summary,191,9.8e-05,0.2601970059709399,0.24921420216560364,0.19457043707370758,0.3508601188659668,230.3717277486911,268.4712041884817,0.0,0.0,0.104712,unknown:191,high:191
ethics_01,medical_knowledge_qa,116,6e-05,0.28975104752542646,0.3367786556482315,0.13562028110027313,0.41081033647060394,125.87931034482759,138.06034482758622,0.0,0.0,0.0,unknown:116,high:116
basic_05,medical_knowledge_qa,89,4.6e-05,0.19633402960019164,0.20011377334594727,0.08401173651218413,0.31059993505477906,167.3932584269663,179.77528089887642,0.0,0.0,0.0,unknown:89,high:89
basic_06,medical_knowledge_qa,83,4.3e-05,0.14610698397260113,0.10319489240646362,0.07396257072687148,0.3137571811676025,165.59036144578315,184.2289156626506,0.0,0.0,0.048193,unknown:83,high:83
