prototype_task_type,count,share,score_mean,assistant_chars_mean,has_tools_rate
summary,1085397,0.556803,0.3848676319345888,152.77557796824573,0.0
followup_question,260490,0.13363,0.32027532669692593,203.70429191139775,0.0
medical_knowledge_qa,175874,0.090222,0.3319414820571338,217.71212913790555,0.0
triage,140697,0.072177,0.3564839631683799,235.56095012686836,0.0
symptom_qa,68587,0.035185,0.34977724014064177,329.0217533935002,0.0
drug_guidance,64858,0.033272,0.3523911607961984,170.6448549138117,0.0
report_interpretation,46887,0.024053,0.3582508916189313,230.74376692899952,0.0
complication_risk,43095,0.022108,0.4201379545753054,57.30168232973663,0.0
emergency_management,29120,0.014938,0.37578647365169293,163.26421703296703,0.0
disease_education,17659,0.009059,0.3272213742919184,281.1304150857919,0.0
treatment_decision,10112,0.005187,0.32297157480298905,221.2126186708861,0.0
diagnostic_reasoning,6561,0.003366,0.40291087317123336,429.3846974546563,0.0
